Array Length,Execution Time Merge Sort,Execution Time Insertion Sort
1092,28387505,123245431
1093,28431560,123564772
1094,28475373,123884688
1095,28519131,124205280
1096,28563236,124528388
1097,28607704,124850037
1098,28652158,125172081
1099,28697427,125496355
1100,28741870,125819670
1101,28786731,126145868
1102,28831109,126475050
1103,28875831,126800227
1104,28920477,127125960
1105,28964850,127452482
1106,29009953,127779670
1107,29054822,128109132
1108,29099712,128437479
1109,29145063,128766392
1110,29189964,129095821
1111,29234803,129425701
1112,29279830,129758285
1113,29324771,130093877
1114,29369770,130425727
1115,29415553,130757978
1116,29460584,131090853
1117,29505749,131424601
1118,29553452,131760693
1119,29599155,132095372
1120,29645005,132430693
1121,29690661,132766311
1122,29736143,133102607
1123,29781878,133441696
1124,29827622,133779448
1125,29873655,134119503
1126,29919777,134458389
1127,29966119,134797965
1128,30012134,135139833
1129,30057484,135480355
1130,30103544,135821590
1131,30149291,136163531
1132,30195100,136509969
1133,30240909,136852760
1134,30289126,137196526
1135,30334774,137540842
1136,30386917,137885508
1137,30433096,138230981
1138,30479307,138578943
1139,30527500,138927605
1140,30573739,139274640
1141,30619708,139622659
1142,30666690,139970798
1143,30713274,140319893
1144,30759771,140671490
1145,30806464,141021769
1146,30852847,141372720
1147,30899061,141726186
1148,30945441,142078527
1149,31052632,142437685
1150,31100123,142798059
1151,31146553,143152098
1152,31193410,143506570
1153,31240405,143861600
1154,31287509,144219492
1155,31339086,144596241
1156,31386444,144953118
1157,31435558,145312876
1158,31482925,145681002
1159,31530282,146040041
1160,31577163,146399685
1161,31624383,146759936
1162,31672016,147120677
1163,31719400,147488605
1164,31766973,147850663
1165,31814426,148212932
1166,31862130,148576432
1167,31909929,148940453
1168,31959517,149309615
1169,32007426,149674678
1170,32055113,150040520
1171,32102985,150407118
1172,32150527,150774122
1173,32198539,151145995
1174,32246740,151514309
1175,32294845,151883328
1176,32342800,152252842
1177,32391158,152622878
1178,32439016,152998131
1179,32487456,153369122
1180,32536043,153741144
1181,32584161,154113414
1182,32632715,154486467
1183,32680864,154864703
1184,32728819,155239161
1185,32777125,155614405
1186,32825564,155990270
1187,32874467,156370831
1188,32923018,156748063
1189,32972108,157125852
1190,33020750,157504282
1191,33069801,157887360
1192,33118879,158271225
1193,33167602,158651488
1194,33216324,159032262
1195,33264935,159413694
1196,33313127,159795245
1197,33362266,160182268
1198,33411269,160565449
1199,33460446,160949390
1200,33508876,161334128
1201,33557805,161723641
1202,33606979,162109531
1203,33656010,162496243
1204,33705576,162883246
1205,33754806,163273997
1206,33803983,163666612
1207,33853497,164056092
1208,33902934,164445964
1209,33951987,164836497
1210,34092576,165236499
1211,34142428,165644897
1212,34192340,166047065
1213,34241815,166452675
1214,34291698,166850446
1215,34346002,167246637
1216,34395242,167641405
1217,34445015,168045652
1218,34494443,168441911
1219,34545404,168841928
1220,34595020,169239515
1221,34644709,169637880
1222,34694347,170036313
1223,34747094,170435876
1224,34797104,170841369
1225,34847094,171242398
1226,34897286,171643973
1227,34947315,172046306
1228,34999904,172451205
1229,35050030,172856622
1230,35099969,173260715
1231,35154586,173700924
1232,35204915,174110466
1233,35255724,174516446
1234,35306086,174923209
1235,35357546,175333645
1236,35408130,175741664
1237,35459476,176154551
1238,35510468,176563983
1239,35560951,176973964
1240,35611712,177384885
1241,35662400,177800626
1242,35713655,178212507
1243,35764688,178625291
1244,35816328,179038583
1245,35867040,179456630
1246,35918624,179871350
1247,35970186,180286647
1248,36021670,180702388
1249,36072909,181118745
1250,36124444,181540715
1251,36176758,181964540
1252,36231992,182382971
1253,36283209,182802407
1254,36336595,183224350
1255,36388311,183645197
1256,36440174,184066298
1257,36492203,184488287
1258,36543814,184915083
1259,36595088,185338518
1260,36647221,185762445
1261,36698836,186186975
1262,36750271,186616650
1263,36801973,187042395
1264,36853523,187469004
1265,36905437,187896130
1266,37016452,188339009
1267,37069005,188773671
1268,37121071,189207125
1269,37173980,189642106
1270,37225618,190076962
1271,37282055,190514394
1272,37335629,190949085
1273,37387953,191385789
1274,37439991,191823278
1275,37496645,192265817
1276,37549224,192704727
1277,37601621,193146246
1278,37654351,193587869
1279,37706632,194037207
1280,37758912,194477024
1281,37811916,194919447
1282,37864686,195362504
1283,37920013,195807865
1284,37973064,196247867
1285,38026288,196691033
1286,38079251,197132631
1287,38132156,197579297
1288,38184894,198022465
1289,38237717,198466239
1290,38290714,198910636
1291,38346092,199357770
1292,38399111,199803734
1293,38452121,200250509
1294,38505506,200697551
1295,38561617,201144648
1296,38615485,201594629
1297,38669068,202045842
1298,38722477,202495874
1299,38776012,202950238
1300,38829330,203401527
1301,38883062,203853290
1302,38937124,204305925
1303,38991400,204762726
1304,39045476,205216922
1305,39099492,205671745
1306,39153390,206127328
1307,39210315,206585434
1308,39264995,207042423
1309,39318865,207501934
1310,39373293,207962758
1311,39429401,208423989
1312,39483921,208883790
1313,39538553,209343613
1314,39593236,209804795
1315,39654356,210295351
1316,39710086,210765223
1317,39764616,211228612
1318,39891809,211706717
1319,39946196,212171353
1320,40000855,212636701
1321,40055506,213102740
1322,40114438,213574162
1323,40169467,214041637
1324,40224478,214509353
1325,40278701,214978122
1326,40333462,215449647
1327,40388650,215923871
1328,40443293,216394846
1329,40498119,216865239
1330,40552980,217341537
1331,40608571,217814626
1332,40663510,218288170
1333,40718897,218766734
1334,40774571,219241852
1335,40830263,219717173
1336,40885413,220193337
1337,40943708,220671984
1338,40998553,221150009
1339,41054014,221628756
1340,41109254,222108177
1341,41165256,222592421
1342,41220987,223073275
1343,41276676,223554465
1344,41331948,224036725
1345,41387603,224524157
1346,41443313,225007830
1347,41499516,225492289
1348,41557725,225978558
1349,41613569,226464624
1350,41669780,226951145
1351,41725435,227438634
1352,41781383,227930971
1353,41837528,228419854
1354,41893692,228909407
1355,41949484,229399574
1356,42006165,229902385
1357,42062130,230396629
1358,42118610,230888991
1359,42177070,231386969
1360,42233433,231880672
1361,42289837,232375211
1362,42346069,232870580
1363,42402751,233368835
1364,42461797,233867439
1365,42519066,234365096
1366,42635329,234872224
1367,42692401,235375780
1368,42749539,235875497
1369,42806600,236376028
1370,42864197,236880628
1371,42920920,237382392
1372,42978255,237884853
